|CODPROD|DESCRICAO                               |
|-------|----------------------------------------|
|2      |PRODUTO DE TESTE - PARAMETRIZACAO.      |
|5      |QUEIJO MUSSARELA BETHE                  |
|6      |ABRIDOR DE SACHET 20G                   |
|7      |ACUCAR REF GRAN ITAGUARY 30X1KG         |
|9      |AJI NO MOTO REFIL REALCE SABOR 100G     |
|10     |AMACIANTE DE CARNE AJINOMOTO 6X1KG      |
|11     |APRESUNTADO OURO PRIETO                 |
|12     |ARROZ BRANCO PAI JOAO 30X1KG            |
|13     |ARROZ PARB PAI JOAO 301KG               |
|14     |ATUM RALADO OLEO G COSTA 24X170G        |
|15     |ATUM SOLIDO OLEO G COSTA 24X170G        |
|16     |TAXA DE ENTREGA                         |
|17     |HAMBURGUER BOV AVES PERDIGAO            |
|18     |00000                                   |
|19     |HAMBURGUER BOVINO SAO MATEUS            |
|20     |HAMBURGUER DE AVES SUIN REZENDE         |
|21     |HAMBURGUER BOVINO REZENDE               |
|22     |HAMBURGUER DUBOI                        |
|23     |HAMBURGUER DUBOI                        |
|24     |SALSICHA HOT DOG CONFIANCA 5KG          |
|25     |SALSICHA HOT DOG PERDIGAO 5KG           |
|26     |SALSICHA HOT DOG REZENDE 5KG - CX 4 PCT |
|27     |SALSICHA                                |
|28     |PRESUNTO PERU REZENDE                   |
|29     |PRESUNTO DE PERU COZ LIGHT SADIA        |
|30     |PRESUNTO SUINO PERDIGÃO                 |
|31     |PRESUNTO PERU SADIA CX 7,00 KG          |
|32     |EMPANADO DE FRANGO PERDIGAO             |
|33     |FARINHA DE TRIGO ROSA BRANCA 10KG       |
|34     |FARINHA DE TRIGO FINNA M D BRANCO FD    |
|35     |BACON MANTA PERDIGÃO                    |
|36     |GORD VEGET FRY 15KG PASTOSA             |
|37     |MARGARINA PRIMOR 6X3KG                  |
|38     |MARGARINA BEMTIVI 15KG                  |
|39     |MARGARINA PURO SABOR 24X250G            |
|40     |MARGARINA PURO SABOR 12X500G            |
|41     |00000                                   |
|42     |MARGARINA PURO SABOR 15KG               |
|43     |MARGARINA PURO SABOR 6X3KG              |
|44     |LOMBO TP CANADENSE DEF PRIETO CX5KG     |
|45     |LING CAL RETA PERDIGAO 3X2,5KG          |
|46     |LING CAL RETA REZENDE 6X2,5KG           |
|47     |MILHO VERD CONS. PT FUGINI 24X200G      |
|48     |MILHO VERD.CONS SACHE FUGINI 32X200G    |
|49     |MILHO VERDE EM CONSERVA LATA 2KG        |
|50     |MILHO VERDE ARO 3,1KG                   |
|51     |CALDO DE CARNE ARISCO 19G               |
|52     |CALDO DE GALINHA CAIPIRA ARISCO 19G     |
|53     |CALDO DE GALINHA JUREMA 6X1,100G        |
|54     |00000                                   |
|55     |PROTEINA ITAGUARY  BRANCA 400G-  FD 20UN|
|56     |MOLHO TOMATE AJINOMOTO 6X2KG            |
|57     |MOLHO PIZZA FUGINI SC 6X2KG             |
|58     |MOLHO TOMATE PIZ FUGINI SUP 32X340G     |
|59     |MOLHO TOMATE TRAD FUG STAND UP 32X340G  |
|60     |MOLHO TRADICIONAL FUGINI                |
|61     |MILHO VERDE JUSSARA 200G                |
|62     |MAIONESE RUAH SACHE CX C/ 180UN X 6G    |
|63     |MAIONESE SACHET CREMY 7G                |
|64     |LEITE LONGA VIDA ELEGE 12X1LT           |
|65     |BATATA PRE FRITA SADIA 2,5KG- CX 10KG 9M|
|66     |REQUEIJAO BISN PURA NATA 8X1,8KG        |
|67     |REQUEIJAO BISN BELLA PIZZA 8X1,8KG      |
|68     |REQUEIJAO 4 QUEIJ PUR NAT BISN 8X1,2KG  |
|69     |REQUEIJAO CHEDDAR PURA NATA 8X1,2KG     |
|70     |REQUEIJAO MILKOURO 8X1,8KG BISN         |
|71     |REQUEIJAO MILK PRATA  8X1,8KG BISN      |
|72     |REQUEIJAO REKEMINAS 8X1,800KG BISN      |
|73     |REQUEI REKEMINAS CHEDDAR 12X1,2KG BISN  |
|74     |AZEITONA VERDE 28 32 ALIMENKO 6X2KG     |
|75     |00000                                   |
|76     |AZEITONA VERDE 24 28 ALIMENKO 6X2KG     |
|77     |AZEITONA VERDE FATIADA ALIMENKO 1X14KG  |
|78     |AZEITONA COM CAROÇO 2KG                 |
|79     |BACON EM MANTA REZENDE                  |
|80     |BACON MANTA SADIA 10 KG                 |
|81     |BEB LAC BATMILK MOR MOR CX12            |
|82     |CARC DE FRANGO CONGELADA REGINA 18KG    |
|83     |CARC DE FRANGO CONG SEM MIUD SADIA 12K  |
|84     |CATCHUP GALAO RUAH 4X3,1KG              |
|85     |CATCHUP RUAH SACHE 6G CX 180 UN         |
|86     |CATCHUP SACHET CREMMY 7G                |
|87     |CHOCOLATE COB BRANC BAR 4X5KG CONFEIT   |
|88     |CHOC CONF BARRA  LEITE 10X1,05KG        |
|89     |CHOC AO LEITE CONFEIT 4X5KG             |
|90     |CHOC CONF BARRA BRANCO 10X1,050KG       |
|91     |CHOC CONF MEIO AMARGO 10X1,05KG         |
|92     |CHOCOLATE MEIO AMARGO 4X5KG CONFEITEIRO |
|93     |EMPANADO DE FRANGO PERDIGAO             |
|94     |ERVILHA SACHE FUGINI 32X200             |
|95     |ERVILHA EM CONS LATA FUGINI 2KG         |
|96     |FERMENTO FRESCO 500 FLEISCHMANN         |
|97     |FERMENTO INST  FLEISCHMANN 500G -CX 20UN|
|98     |DUETO MILHO E ERVILHA SACHE             |
|99     |ERVILHA JUSSARA 2KG                     |
|100    |CREME DE LEITE BATAVO 24X240G           |
|101    |CREME CULINARIO LECO 12X1KG             |
|102    |CREME DE LEITE ITAGUARY 27X200G         |
|103    |CREME DE LEITE ELEGE 24X200G            |
|104    |CREME DE LEITE BETANIA 27X200G          |
|105    |FILE PEITO DE FRANGO AVEBOM 18 KG       |
|106    |FILE PEITO FRAN NAT IND MISTER FRA 18KG |
|107    |FORMA PARA PIZZA 26 ALUMINIO            |
|108    |FORMA PARA PIZZA 35 ALUMINIO            |
|109    |FORMA PARA PIZZA40 ALUMINIO             |
|110    |CATCHUP FUGINI ORIGINAL 340G            |
|111    |MOSTARDA SACHE CREMMY 7G                |
|112    |OLEO DE SOJA SOYA CX 20X900ML           |
|113    |OLEO DE SOJA PRIMOR 20X900ML            |
|114    |OREGANO A GRANEL SACO 400G              |
|115    |PA PARA PIZZA FERRO 38                  |
|116    |PA PARA PIZZA MADEIRA BRANCA 40         |
|117    |PA PARA PIZZA MADEIRA ESCURA 40         |
|118    |CATCHUP TRAD CEPERA 12X1,01 KG          |
|119    |POLPA ABACAXI 1 KG                      |
|120    |POLPA ABACAXI FRUTE 500G - PCT 5 UN     |
|121    |SACO LIXO 100LTS TUBARAO                |
|122    |POLPA ACEROLA FRUTE 500G - PCT 5 UN     |
|123    |POLPA ACEROLA FRUTE 1KG                 |
|124    |POLPA AMEIXA DOSADO 500G- PCT 5 UN      |
|125    |POLPA CAJA FRUTE 1KG                    |
|126    |POLPA CAJA DOSADA 500G- PCT 5 UN        |
|127    |POLPA CAJU FRUTE 1KG                    |
|128    |POLPA CAJU DOSADA 500G- PCT 5 UN        |
|129    |POLPA GOIABA FRUTE 1 KG                 |
|130    |POLPA GOIABA DOSADA 500G- PCT 5 UN      |
|131    |POLPA GRAVIOLA DOSADA 500G- PCT 5 UN    |
|132    |POLPA MANGA FRUTE 1KG                   |
|133    |POLPA MANGA FUTE 500G- PCT 5 UN         |
|134    |POLPA MARACUJA 1KG                      |
|135    |POLPA MARACUJA FRUTE 500G- PCT 5 UN     |
|136    |POLPA TAMARINDO 1KG                     |
|137    |POLPA TAMARINDO DOSADO 500G- PCT 5 UN   |
|138    |POLPA KI ACAI ESPECIAL DOSADO 500G      |
|139    |POLPA KI ACAI MEDIO                     |
|140    |POLPA MORANGO 1KG                       |
|141    |QUEIJO COALHO TERRA DO LEITE REDONDO    |
|142    |QUEIJO COALHO NUTRILAC QUADRADO         |
|143    |QUEIJO MUSSARELA 2000 4KG               |
|144    |QUEIJO MUSSARELA CRISTAL                |
|145    |QUEIJO MUSSARELA LIGIA 4KG              |
|146    |QUEIJO MUSSARELA LUIZA 4KG              |
|147    |QUEIJO MUSSARELA NUTRIBOM 4KG           |
|148    |QUEIJO MUSSARELA NOBRE                  |
|149    |QUEIJO MUSSARELA OURO BRANCO 4KG        |
|150    |ERVILHA BONAMASSA 200G                  |
|151    |ERVILHA/MILHO BOA VIDA 24X200G          |
|152    |LANCHE DE FRANGO REGINA                 |
|153    |CARNE ACEM BOVINO                       |
|154    |OREGANO TURCO FOLHAS NATU 1 PCT 0,400G  |
|155    |PEITO DE FRANGO IND CARRER 10KG         |
|156    |CARNE COXAO MOLE RESFRIADO              |
|157    |CARNE DE SOL COXAO MOLE                 |
|158    |SARDINHA OLEO CRUSE FOODS 50X125        |
|159    |ATUM RALADO OLEO CRUSOE FOODS 24X170G   |
|160    |ATUM RALADO NATURAL CRUSOE FOODS 24X170G|
|161    |COPO MARATA 250ML CERVEJA 20X100        |
|162    |CALDO DE CARNE JUREMA EM PO 6X1,100G    |
|163    |AZEITONA VERDE 28 32 4X2KG TING         |
|164    |COPO MARATA 300ML CHOP 20X100           |
|165    |COPO MARATA 50ML CAFE 50X100            |
|166    |COPO MARATA 100ML CHA 20X100            |
|167    |COPO MARATA 150ML AGUA 25X100           |
|168    |COPO MARATA 200ML REFRI 25X100          |
|169    |COPO MARATA 180ML REFRI 25X100          |
|170    |FILE PEITO FRANGO CARRER S PELE S OSSO  |
|171    |GORDURA VEGETAL MULTIUSO 24 KG          |
|172    |QUEIJO COALHO PATUBUIU                  |
|173    |LING CALABRESA RETA SADIA INST PC 2,5K  |
|174    |QUEIJO PROVOLONE ILDA                   |
|175    |QUEIJO PROVOLONE ILDA 5KG (NÃO UTILIZAR)|
|179    |VINAGRE DE ALCOOL LORD 12X500ML         |
|181    |MAIONESE BAL CREMY 4X3KG                |
|182    |EXTRATO TOMATE FUGINI  6X2KG            |
|183    |LEITE CONDEN ELEGE 24X395G              |
|184    |LEITE DE COCO COCOMILK 7% 24X200ML      |
|185    |LEITE DE COCO DUCOCO 12X 1 L            |
|186    |SARD EM MOLHO TOMATE CRUSE FOODS 50X125 |
|187    |CALDO DE CARNE SAZON PROF 1KG           |
|189    |PIM MALAGUETA KENKO 24X30G              |
|190    |PALMITO CULTIVERDE INTEIRO 15X300G      |
|191    |PALMITO PICADO PUP CULTIVERDE 15X300G   |
|192    |CATCHUP CEPERA                          |
|193    |EXTRATO TOMATE AJINOMOTO 8X2KG          |
|194    |MOLHO INGLES KENKO 24X150ML             |
|195    |MOLHO SAKURA TRAD 150ML 24X150          |
|197    |MID SUGAR STICKS CX 1X1000              |
|198    |MAIONESE BAL 4X3KG RUAH                 |
|199    |MAIONESE BISNAGA RUAH 6X1KG             |
|200    |MILHO VERDE CONS FUGINI 6X2KG           |
|202    |COGUMELO FATIADO BAL 2KG ALIMENKO       |
|203    |LING CAL DEF RETA  2,5KG SADIA - CX 3PCT|
|204    |LING CAL COZ DEF RETA 3KG PRIETO        |
|205    |LANCHE SADILAR SADIA CX7,100KG          |
|206    |QUEIJO PARMESAO RAL GRATA CX 20X500GR   |
|208    |QUEIJO TIPO GORGONZOLA FENIX            |
|209    |0000000                                 |
|210    |FERMENTO FRESCO 50X500G ITAQUARA        |
|211    |LANCHE GOSTOSINHA BOV REGINA CX 20KG    |
|212    |QUEIJO COALHO GRANDE RIO                |
|213    |QUEIJO COALHO DIVERSO                   |
|215    |CHAMPIGNON INTEIRO DIMAS 6X2KG          |
|216    |BACON SUINO REZENDE                     |
|217    |FARINHA DE MANDIOCA DO PARA 30X1KG      |
|218    |GOIABADA FUGINI FLOW PACK 400G          |
|219    |MARROM GLACE FUGINI POTE OURO 300G      |
|220    |MASSA PASTEL TRIGTALY 1KG               |
|221    |MASSA PASTEL NOBRE SAL 10X1KG           |
|222    |EXTRATO TOMATE FUGINI 36X190G           |
|223    |CARNE MOIDA GOSTOSINHA CX10KG           |
|224    |COPO MARATA BCO 400ML                   |
|226    |GORDURA DE PALMA DORATTA FRY BD 14,5 KG |
|227    |GORDURA VEGETAL PARA FRITURA GME FLY    |
|228    |IOGURTE POLPA BATAVO MORANGO 540GRS     |
|229    |PROTEINA ITAGUARY CARAMELA (PRETA) 400 G|
|231    |QUEIJO COALHO PATUBUIU                  |
|232    |QUEIJO COALHO VS QUEIJOS                |
|233    |POLPA GRAVIOLA 1KG                      |
|234    |PACOCA A GRANEL 1KG                     |
|235    |MANTEIGA DA TERRA ICAPUI 500GRS         |
|236    |MANTEIGA DA TERRA ICAPUI 1KG            |
|237    |POLPA DE AMEIXA 1KG                     |
|238    |TOMATE SECO BL 2KG DIMAS                |
|239    |MOCHILA PIZZA STOCOLOCO                 |
|240    |AZEITE DE OLIV E V TERRANO ACID 12X500G |
|241    |AZEITONA VERDE FATIADA ALIMENKO 6X2KG   |
|242    |AZEITONA VERDE FATIADA TING 4X2KG       |
|243    |CAIXA PIZZA K40 BRANCA                  |
|244    |CAIXA PIZZA  K-30 PINTADA               |
|245    |CHAMPIGNON FATIADO DIMAS 6X2KG          |
|246    |COGUMELO INTEIRO MEDIO BAL 2KG ALIMENKO |
|248    |FARINHA DE ROSCA 500GR                  |
|249    |FERMENTO INSTANTANEO SC 10GRS           |
|250    |MASSA PASTEL BIG 10X1KG                 |
|251    |FILE DE PEITO FRANGO LANGUIRU CX 20KG   |
|252    |PEITO DE FRANGO AVE BOM CX 18KG         |
|253    |POLPA SIRIGUELA 1KG                     |
|254    |POLPA MORANGO DOSADO 500GRS- PCT 5 UN   |
|255    |POLPA KI ACAI DOSADO 500G- PCT 5 UN     |
|256    |SAZON CALDO PROFIS CARNE 6X1,1KG        |
|257    |SAZON CALDO PROFIS GALINHA 6X1,100KG    |
|258    |POLPA SIRIGUELA 500GRS                  |
|259    |TOMATE SECO BL 2KG ALIMENKO             |
|260    |MOLHO DE PIM KENKO 24X150ML             |
|263    |PAPEL HIGIENICO FD 8X300M               |
|264    |PAPEL TOALHA 1000 FLS                   |
|265    |PEITO FRAN NAT IND AVEBOM               |
|266    |DUETO MILHO/ERVILHA JUSSARA 24X200G     |
|267    |MOLHO DE ALHO KENKO 24X150ML            |
|268    |LING CHURRAS REZENDE CX15KG             |
|270    |CATCHUP TAMBAU TRAD BOMBONA 4X3,4KG     |
|271    |QUEIJO COALHO KI SABOR                  |
|272    |QUEIJO COALHO CASA GRANDE               |
|276    |REQUEIJAO ROSELI                        |
|277    |ALHO FRITO 500G ALDEIA DA SERRA         |
|278    |ALHO PICADO 1KG                         |
|282    |AMACANTE DE CARNE 1KG MARIZA            |
|285    |ATUM CHICHARRO RAYDUC 400GRS            |
|286    |ATUM SOLIDO 170 GRS PESCADOR            |
|287    |AZEITE COMPOSTO DE OLIVA DOLAGAR 36X200M|
|288    |BACON MANTA PRIETO                      |
|289    |BACON BARRIGA DEFUMADA PRIETO           |
|290    |QUEIJO MUSSARELA NATVILLE               |
|291    |ALHO  TRITURADO 2KG                     |
|292    |CHOC GRANULADO ESC 1,05 KG              |
|293    |SAL SOSAL 1KG                           |
|295    |QUEIJO PARMESAO RALADO ILDA 1KG         |
|296    |AZEITE OLV 24X200ML QUINTA DA BARONESA  |
|298    |COPO MARATA  BCO 500 ML                 |
|299    |MOLHO SHOYO PET 1010GRS CEPERA          |
|300    |AZEITE DE OLIVA 5LT - QUINTA DA BARONESA|
|301    |AZEITE OLIV 12X500ML QUINTA DA BARONESA |
|303    |AZEITE OLIV PORT FIGUEIRA DA FOZ 36X200G|
|304    |MOLHO INGLES EXTRA PET 900ML CEPERA     |
|305    |AZEITON PRETA FAT HEMMER BD CX 4 1,800KG|
|306    |CHOC COB FORNEAVEL BCO BISN 1KG         |
|307    |AZEITONA VERDE 24 28 BAL 2KG COLOSSO    |
|308    |AZEITE COMPOS DE OLIVA DOLAGAR 24X500ML |
|309    |AZEITONA VDE 24 28 BARRICA 50KG COLOSSO |
|310    |AZEITON PRETA C/ CAROCO 28/32 HEMMER 2KG|
|311    |AZEITONA VERDE RECHEADA BAL 2KG COLOSSO |
|312    |AZEITONA VERDE 24 28 GRANEL COLOSSO     |
|313    |AZEITONA VERDE FATIADA COLOSSO 2KG      |
|314    |AZEITONA PRETA FATIADA CAMPO BE 6X2KG   |
|315    |MOLHO ALHO PET 1010ML CEPERA            |
|316    |CATCHUP TRADICIONAL QUERO 1150KG        |
